name,latitude,longitude,bus,tram,strain,train,other
Köln Hbf,50.943029,6.958721,,,S6;S11;S12;S19,RB24;RB25;RB26;RB27;RB38;RB48;RE1RRX;RE22;RE5RRX;RE6RRX;RE7;RE8;RE9,
Köln/Bonn Flughafen Bf,50.8789,7.119286,,,S19,RB27,ICE
Köln/Bonn Flughafen Terminal 2,50.881004,7.117731,161;423;SB60,,,,
Kölner Weg,50.931478,6.857493,143,,,,
Kölnstr.,50.864679,7.011721,131;134,,,,
Königsforst,50.919729,7.096903,154;423,9,,,AST 188
Körnerstr.,50.948324,6.920292,,3;4,,,
Kühzällerweg,50.97513,7.048541,157,,,,
Kürtenstr.,50.928467,7.017168,153,,,,
LVR Kliniken,50.936162,7.052011,158,,,,
Lacher Broch,50.95841,7.041026,195,,,,
Langel Fähre,51.052761,6.914521,121,,,,
Langel Kuhlenweg,51.046315,6.924777,121,,,,
Langel Mohlenweg,51.048635,6.920085,121,,,,
Langel Nord,51.051071,6.916354,121,,,,
Langenbergstr.,51.034171,6.886717,,,,,AST 181
Lehmbacher Weg Friedhof,50.932566,7.078987,,,,,TaxiBus 187
Leiblplatz,50.925959,6.915815,146,,,,
Leichweg,50.904196,6.949462,130;134,,,,
Leimbachweg,51.006682,7.02756,155;157,,,,
Leinsamenweg,50.945367,6.853394,144,,,,
Leipziger Platz,50.966473,6.955718,140,,,,
Lenauplatz,50.958554,6.918323,,5,,,
Lentpark,50.957853,6.963548,,,,,TaxiBus 184
Leopold-Gmelin-Str.,51.001145,6.986165,151;152,,,,
Lerchenweg,50.877642,6.960806,131;132,,,,
Lessingstr.,50.955713,6.915231,141;143,,,,
Leuchterstr.,50.996434,7.037646,154;155;157;260;434,4,,,
Leyboldstr.,50.897832,6.966164,132,,,,
Leyendeckerstr.,50.954464,6.909927,,3;4,,,
Liblarer Str.,50.900376,6.951691,131;133,,,,
Libur Kirche,50.838269,7.069477,163,,,,
Liebigstr.,50.952315,6.924148,142,5,,,
Lina-Bommer-Weg,50.918111,7.048927,151;152;191,,,,TaxiBus 191
Lindenburg (Universitätskliniken),50.922228,6.921676,,9,,,
Lindenweg,50.881058,6.962235,132,,,,
Linder Kreuz,50.846773,7.094341,162;505,,,,
Linder Mauspfad,50.850836,7.109317,160;162,,,,
Linder Weg,50.849775,7.104418,160;162,,,,
Lindweilerfeld,51.003077,6.889611,121,,,,
Lindweilerweg,50.995311,6.90154,121,,,,
Lippeweg,50.99185,7.043156,155;157;434,,,,
Lohsestr.,50.958104,6.955296,,12;15,,,
Longerich Friedhof,50.995553,6.911293,121;127;139,15,,,
Longerich S-Bahn,50.997738,6.901549,121;125;127;139,,S6;S11,,
Longericher Str.,50.996075,6.914592,121;127;139,15,,,
Longericher Str./Etzelstr.,50.978231,6.928625,140,,,,
Lucasstr.,50.865686,7.106602,160,,,,
Ludwig-Quidde-Platz,50.931433,7.05566,157;179,,,,TaxiBus 187
Ludwigsburger Str.,50.965673,6.94014,127,,,,
Lübecker Str.,50.933609,6.83324,173,,,,
Lüderichstr.,50.928161,7.0023,153,,,,
Maarhäuser Weg,50.909554,7.070762,151;154,,,,
Maarweg,50.937177,6.899365,172;173,1,,,
Mannesmannstr.,50.868778,6.991279,135,,,,
Mannsfeld,50.910533,6.962604,132;133,,,,
Marconistr.,51.033964,6.928481,121,,,,
Marconistr. Ost,51.035681,6.929272,121,,,,
Margaretastr.,50.968235,6.905504,,5,,,
Margaretenstr.,50.839249,7.073027,163,,,,
Maria-Himmelfahrt-Str.,50.967903,7.04526,,3;18,,,
Marienberger Weg,51.000003,6.892785,121;125;127,,,,
Marienburg Südpark,50.898245,6.97598,106,,,,
Marienburger Str.,50.901221,6.97367,106,,,,
Marienplatz,50.884887,7.08021,162,,,,
Marienstr.,50.958419,6.908309,141;143,,,,
Marktplatz Sürth,50.862198,7.007406,131;134,,,,
Marktstraße,50.912053,6.962127,132;133,,,,
Marsdorf,50.917473,6.85823,,7,,,
Maternusplatz,50.892744,6.993689,131;134;135,,,,
Mathias-Brüggen-Str.,50.982923,6.885054,139,,,,
Mauritiuskirche,50.934175,6.945066,,9;E,,,
Mechternstr.,50.942589,6.918719,142,,,,
Meerfeldstr.,50.99505,6.920777,,15,,,
Melaten,50.936746,6.916714,172;173,1;7,,,
Melatengürtel,50.939856,6.910979,140,13,,,
Mennweg,51.043205,6.89861,120,,,,
Merheim,50.944072,7.0481,157;158,1,,,
Merheimer Platz,50.957916,6.949866,127;142,,,,
Merianstr.,51.027294,6.91017,120;121,,,,
Merkenich,51.028274,6.94788,121;124,12,,,
Merkenich Mitte,51.024454,6.952994,,12,,,
Merkenicher Str.,50.989647,6.961381,147,,,,
Meschenich Kirche,50.860329,6.927016,132;135;192;935,,,,
Messe/Deutz Bf,50.940872,6.975,,,S6;S11;S12;S19,RB24;RB25;RB26;RB27;RB48;RE1RRX;RE22;RE5RRX;RE7;RE8;RE9,ICE
Methweg,50.956747,6.935483,142,,,,
Michaelshoven,50.876249,6.998911,,16;17,,,
Mohnweg,50.937959,6.855372,,1,,,
Moldaustr.,51.025595,6.889728,,,,,AST 181
Mollwitzstr.,50.978258,6.948796,,12;15,,,
Moltkestr.,50.936072,6.932607,136;146,1;7,,,
Mommsenstr.,50.919163,6.91035,,9,,,
Montanusstr.,50.96294,7.012773,159,,,,
Morsestr.,51.03783,6.922701,121,,,,
Moses-Hess-Str.,50.986151,6.999478,153;155;250,,,,
Mozartstraße,51.000956,6.87433,122,,,,
Mutzbach,50.99932,7.036486,155;157,,,,
Möhlstr.,50.979373,7.072488,435,,,,
Mühlenbach,50.933213,6.957543,978,,,,
Mühlenweg,50.970464,6.891095,139,,,,
Mühlenweiher,51.065121,6.864612,120,,,,
Mülhauser Str.,50.975184,6.930081,121;140,,,,
Mülheimer Friedhof,50.946625,7.022418,151;152;153,,,,
Mülheimer Ring,50.964729,7.021474,159,,,,
Nachtigallenstr.,50.863106,7.083868,160;162,,,,
Nattermannallee,50.97566,6.858859,970,,,,
Neißestr.,51.029973,6.893872,126,,,,
Nesselrodestr.,50.976964,6.968878,,16,,,
Neue Eiler Str.,50.892888,7.074493,160,,,,
Neuenhofstr.,50.912502,7.055552,151;152,,,,
Neuer Mülheimer Friedhof,50.984919,7.004251,151;152;153,,,,
Neufelder Str. (Krankenhaus Holweide),50.969548,7.055534,,3;18,,,
Neumarkt,50.935667,6.948329,136;146,1;3;4;7;9;16;18,,,
Neusser Str./Gürtel,50.972334,6.951358,121;140;147,12;13;15,,,TaxiBus 184;TaxiBus 186
Neven DuMont Haus,50.974393,6.96949,140,,,,
Nibelungenplatz,50.974941,6.939079,140,,,,
Nibelungenstr.,50.853569,7.108984,160;162,,,,
Niederkasseler Str.,50.841352,7.10466,505,,,,
Niederkasseler Str./Kreisel,50.845164,7.102224,505,,,,
Niehl Betriebshof Nord,50.974887,6.973004,140,,,,
Niehl Nord,50.99478,6.955673,147,12,,,
Niehl Sebastianstr.,50.985225,6.961399,147,16,,,
Niehler Damm,50.994205,6.961022,147,,,,
Niehler Kirchweg,50.974141,6.955691,147,,,,
Niehler Str.,50.967543,6.958855,140,,,,
Nievenheimer Str.,50.962734,6.940284,127,,,,
Nippes S-Bahn,50.958662,6.941596,127;142,,S6;S11,,
Nord (S),51.027789,6.893989,,,S6;S11,,
Nordfriedhof,50.975912,6.94592,140,,,,
Nordstr.,50.967822,6.95303,140;147,,,,TaxiBus 184;TaxiBus 186
Nußbaumerstr.,50.956999,6.923582,,5;13,,,
Nüssenberger Str.,50.976928,6.865008,127,,,,
Oberer Komarweg,50.898623,6.931672,131;138,,,,
Oberzündorf,50.860616,7.033825,164,,,,
Odenthaler Str.,51.001288,7.04241,260,4,,,
Offenbachplatz,50.937932,6.952985,171,,,,
Okerstr.,51.030674,6.889243,,,,,AST 181
Ollenhauerring,50.975912,6.871193,127,3,,,
Olpener Str.,50.945609,7.081064,154,,,,TaxiBus 187
Oranienstr.,50.936234,7.021267,153;179;193,,,,
Oranjehofstr.,51.025433,6.939556,121;124,,,,
Oskar-Jäger-Str.,50.945349,6.906916,141;143,,,,
Oskar-Schindler-Straße,51.032742,6.920283,121;124,,,,
Ossendorf,50.976883,6.904498,127,,,,
Osterather Str.,50.958527,6.93934,127,,,,
Ostfriedhof,50.963929,7.072767,154,,,,
Ostheim,50.929231,7.041242,151;152;157;191,9,,,
Ostlandstr.,50.935658,6.832979,143;145;173,,,,
Ostmerheimer Str.,50.942463,7.049458,157;158,,,,
Otto-Hahn-Str.,50.858153,6.974703,135,,,,
Otto-Müller-Str.,51.000417,6.878851,122;125;127,,,,
Paffrather Str.,50.984317,7.082151,435,,,,
Palmenhof,50.965889,6.841924,149;172;962,,,,
Pasteurstr.,50.971552,6.976825,140,,,,
Paul-Nießen-Str.,50.912547,6.936059,131,,,,
Paul-Reifenberg-Str.,51.013163,6.924274,122,,,,
Penningsfelder Weg,50.971202,7.092318,436,,,,
Pesch Schulstr.,50.999005,6.869592,122;126;127,,,,
Pescher Weg,50.999724,6.88224,125;127,,,,
Pettenkoferstr.,50.956127,6.933928,142,,,,
Pierstr.,50.84858,6.975737,135,,,,
Piusstr.,50.945987,6.92591,,3;4,,,
Pohligstr.,50.916934,6.941659,142,12,,,
Poll Hauptstr.,50.911495,6.989751,159,,,,
Poll Salmstr.,50.915981,6.992808,159,7,,,TaxiBus 194
Poller Holzweg,50.918516,6.997203,159,,,,
Poller Kirchweg,50.923658,6.980016,,7,,,
Porz Markt,50.884995,7.059148,151;152;154;160;161;162,7,,,AST 188
Porz-Langel Kirche,50.844795,7.007613,164,,,,
Porz-Langel Mühle,50.852975,7.018589,164,,,,
Porz-Langel Nord,50.856149,7.025178,164,,,,
Porz-Langel Süd,50.841442,7.006984,164;SB55,,,,
Porz-Langel Zur Eiche,50.848607,7.009662,164,,,,
Porzer Str.,50.921617,7.075059,,9,,,
Poststr.,50.931541,6.950037,,3;4;16;18,,,
Prälat-van-Acken-Str.,50.925105,6.89683,136,,,,
Pulheimer Str.,51.005585,6.899032,125,,,,
Raiffeisenstr.,50.919981,6.985949,,7,,,
Ramrather Weg,51.067413,6.851524,120,,,,
Rath-Heumar,50.920296,7.081945,,9,,,
Rathaus,50.938328,6.959898,,5,,,
Reichenspergerplatz,50.954311,6.96486,140,16;18,,,TaxiBus 184
Reiherstr.,50.875745,6.960186,131;132,,,,
Rektor-Klein-Str.,50.974186,6.90465,,5,,,
Remscheider Str.,50.945223,7.007388,159;171,,,,
Rheinauhafen,50.925195,6.965337,133,,,,
Rheinbergstr.,50.851456,7.014175,164,,,,
Rheinenergie-Sportpark,50.904942,6.909361,978,,,,
Rheinenergie-Stadion,50.937591,6.87459,,1,,,
Rheinkassel,51.039448,6.932913,121,,,,
Rheinlandstr.,51.026773,6.928355,121;124,,,,
Rheinsteinstr.,50.907252,6.959664,133,,,,
Rhöndorfer Str.,50.913814,6.932571,131,,,,
Richard-Wagner-Str.,50.882478,7.011388,131;134,,,,
Riehler Gürtel,50.964648,6.976609,140,,,,
Ritterstr.,50.872707,7.024333,131;134,,,,
Robert-Bosch-Str.,51.031636,6.920364,121;124,,,,
Robert-Perthel-Str.,50.98046,6.918584,121,,,,
Rochusplatz,50.956972,6.902439,139;140;141;143,3;4,,,
Rodenkirchen Bf,50.890901,6.990057,130;131;134;135,16;17,,,TaxiBus 197
Rodenkirchen Bismarckstr.,50.890721,7.008512,135,,,,
Rodenkirchen Rathaus,50.891719,6.996583,131;134;135,,,,
Roggenweg,50.947902,6.85005,144,,,,
Roisdorfer Str.,50.905257,6.94539,131,,,,
Rolshover Str.,50.928952,6.9999,153;159,,,,
Rondorf,50.873866,6.954801,131;132,,,,
Rosenhügel,50.874145,7.060029,,7,,,
Rosenstr.,50.92657,6.958694,106;132,,,,
Rosmarinweg,50.962967,6.840674,149;172;962,,,,
Roteichenweg,50.968001,7.068002,154,,,,
Rothgerberbach (Poststr.),50.93057,6.950145,978,,,,
Rudolf-Diesel-Str.,50.90176,7.076776,154,,,,
Rudolfplatz,50.936449,6.939394,136;146,1;7;12;15,,,
Rösrather Str.,50.928862,7.060829,157;179,,,,TaxiBus 187
Röttgensweg,50.920269,7.090556,,9,,,
S-Bahn Technologiepark,50.948387,6.8882,139;140;144,,S12;S19,,
Saarbrücker Str.,50.924754,7.045134,151;152;191,,,,
Saarstr.,50.944027,6.821365,143,,,,
Sankt-Tönnis-Str.,51.065013,6.867885,120,,,,
Sauerlandstr.,50.926238,6.999657,159,,,,
Schadowstr.,50.95361,6.927618,142,,,,
Schaffrathsgasse,50.971543,6.870168,,3,,,
Schanzenstr. Nord,50.969377,7.016683,150,,,,
Schanzenstr./Schauspielhaus,50.966563,7.009833,150,,,,
Scheibenstr.,50.985701,6.94627,,12;15,,,
Scherfginstr.,50.907468,6.913577,978,,,,
Scheuermühlenstr.,50.857821,7.108031,160,,,,
Schillingsrotter Str.,50.884474,6.989724,135,,,,
Schirmerstr.,50.954455,6.92973,142,,,,
Schlagbaumsweg,50.959462,7.045188,157,,,,
Schlettstadter Str.,51.030566,6.951808,121,,,,
Schloß Röttgen,50.914677,7.081396,154,,,,
Schmiedegasse,50.977107,6.935762,140,,,,
Schneider-Clauss-Str.,50.961125,6.958972,,,,,TaxiBus 186
Schokoladenmuseum,50.93253,6.962829,106;132;133,,,,
Schulzentrum Wahn,50.862909,7.089415,160,,,,
Schumacherring,50.984155,6.869934,127,,,,
Schwabenstr.,50.887134,6.989625,135,,,,
Schwindstr.,50.940863,6.86152,141;172,,,,
Schönhauser Str.,50.914084,6.972079,,16;17,,,
Schüttewerk,50.913365,6.983009,159,,,,
Schützenhofstr,50.970653,7.009006,151;152,,,,
Sechzigstr.,50.958248,6.94476,127;142,,,,
Seeberg,51.018844,6.918143,122,,,,
Seithümerstr.,50.946328,6.832359,144,,,,
Selma-Lagerlöf-Str.,50.941798,6.828593,141,,,,
Seniorenzentrum Riehl,50.967723,6.979477,140,,,,
Servatiusstr.,50.929815,7.047111,157;179,,,,
Severinsbrücke,50.930435,6.972474,,7,,,
Severinskirche,50.923244,6.960168,106;132,,,,
Severinstr.,50.929177,6.957255,106;132,3;4;17,,,
Severinusstr.,50.942823,6.825042,143,,,,
Sibille-Hartmann-Str.,50.913796,6.944491,142,,,,
Siebengebirgsallee,50.909931,6.928786,130;134,,,,
Siedlung Mielenforst,50.966896,7.068101,154,,,,
Siegburger Str.,50.914507,6.994552,159,,,,
Siegfriedstr.,50.888896,6.999945,131;134;135,,,,
Siegstr. (Stadtbahn),50.883314,6.994641,,16;17,,,
Siemensstr.,50.885498,7.070987,160;162,,,,
Sigwinstr.,50.982016,7.04366,155;157,,,,
Silbermöwenweg,50.966284,6.876595,143,,,,
Sinnersdorfer Mühle,51.017757,6.834939,125;967,,,,
Slabystr.,50.966527,6.987891,,13;18,,,
Sparkasse Am Butzweilerhof,50.985288,6.887472,139,5,,,
Spicher Str.,50.842773,7.101361,505,,,,
Spitzangerweg,50.947461,6.826921,143,,,,
Sportplatzstr.,50.860005,7.102251,167,,,,TaxiBus 185
Sprengelstr.,50.96864,6.968878,140,,,,
St. Vincenz-Haus,50.948827,6.965247,SB40,,,,
St. Vinzenz-Hospital,50.965457,6.946657,147,,,,
St.-Joseph-Kirche,50.886361,7.002867,131;134,,,,
Staffelbergstr.,51.034027,6.884002,,,,,AST 181
Stallagsweg,51.010466,6.895949,125,,,,
Stammheim S-Bahn,50.99007,7.002093,151;152;153;155,,S6,,
Stammheimer Ring,50.989243,6.998363,151;152;153;155;250,,,,
Stegerwaldsiedlung,50.948216,6.992844,,3;4,,,
Steinkauzweg,50.963399,6.875085,141;143,,,,
Steinmetzstr.,50.943371,7.009573,159;171,,,,
Steinstr. S-Bahn,50.895557,7.057161,152;154,,S12,,
Steinweg,50.923631,7.066789,,9,,,
Sterrenhofweg,50.928125,6.854769,143;173,,,,
Stolberger Str.,50.94178,6.907078,140,,,,
Stolberger Str./Eupener Str.,50.942301,6.888802,140,,,,
Stommeler Str.,50.999014,6.912354,121;127;139,,,,
Stormstr.,50.942005,6.845223,141;172,,,,
Straßburger Platz,50.935982,7.059067,157;179,,,,TaxiBus 187
Stresemannstr.,50.896987,7.061413,151;152;154,,,,
Strundener Str.,50.971318,7.087878,436,,,,
Stüttgenhof,50.919981,6.876604,,7,,,
Subbelrather Str./Gürtel,50.95467,6.921236,141;143,5;13,,,
Suevenstr.,50.932719,6.976276,,3;4,,,
Swinestr.,51.031142,6.893396,,,,,AST 181
Süd Bf,50.927298,6.938045,,,,RB24;RB26;RB48;RE12;RE22;RE5RRX,
Südallee,50.93048,6.863983,143,,,,
Sülz Hermeskeiler Platz,50.917158,6.907293,,9,,,
Sülzburgstr.,50.91572,6.927501,131,18,,,
Sülzgürtel,50.912358,6.923941,130;134,13;18,,,
Sürth Bf,50.864086,7.003433,130;131;134,16;17,,,TaxiBus 197
Sürth Rodderweg,50.868068,7.000143,130,,,,
Sürther Feldallee,50.875197,7.010453,130,,,,TaxiBus 197
Tacitusstr.,50.909616,6.969526,106,,,,
Takustr.,50.957133,6.911608,141;143,,,,
Talweg,50.903657,7.05291,152,,,,
Taubenholzweg,50.921662,6.9991,159,,,,
Technologiepark Köln,50.946742,6.890843,139;141;143,,,,
Theresienstr.,50.929501,6.913154,136,,,,
Thermalbad,50.950095,6.981904,150;250;260,,,,
Thielenbruch,50.97806,7.085459,,3;18,,,
Thurner Kamp,50.968936,7.074358,154,,,,
Torringer Weg,50.982411,7.036891,434,,,,
Trifelsstr.,50.972649,6.933991,121,,,,
Trimbornstr.,50.935856,6.996727,159,,S12;S19,RB25,
Troisdorfer Str.,50.848031,7.100615,162,,,,
TÜV-Akademie,50.924601,6.994129,196,,,,
Ubierring,50.922453,6.965624,133;142,15;16,,,
Uferstr.,50.891746,7.00977,135,,,,
Ulrepforte,50.923972,6.952086,,15;16,,,
Universität,50.925797,6.930935,130;134;142,9,,,
Universitätsstr.,50.936755,6.927492,142;172;173,1;7,,,
Unnauer Weg,51.00652,6.890151,121,,,,
Unter Buschweg,50.867178,7.002696,130,,,,TaxiBus 197
Unter Sachsenhausen,50.941969,6.952752,171,,,,
Urbach Friedhof,50.878244,7.087545,162,,,,
Urbach Kaiserstr.,50.881435,7.080938,151;152;161,,,,
Urbach Waldstr.,50.881417,7.082871,160;161;162,,,,
Venloer Str. / Autobahn,50.97975,6.846086,970,,,,
Venloer Str./Gürtel,50.950167,6.916705,141;142;143,3;4;13,,,
Vingst,50.932782,7.02169,153;193,9,,,
Vitalisstr. Nord,50.95121,6.894672,140,,,,
Vitalisstr. Süd,50.943092,6.88215,141;143,,,,
Vogelsanger Markt,50.955614,6.881458,141;143,,,,
Vogelsbergstr.,51.035223,6.888569,,,,,AST 181
Volkhovener Weg,51.014251,6.893234,121;126,,S6;S11,,
Volksgarten,50.918812,6.950046,142,,,,
Voltastr.,50.883197,7.071095,160;162,,,,
Von-Galen-Str.,50.978905,7.013141,151;152,,,,
Von-Hünefeld-Str.,50.977305,6.885414,127;139,,,,
Von-Lohe-Str.,50.973431,7.00595,153;250,,,,
Von-Quadt-Str.,50.976739,7.07247,154;436,,,,
Von-Sparr-Str.,50.970446,7.011379,,4,,,
Wahn Friedhof,50.852499,7.089828,162;505,,,,
Wahn Kirche,50.857407,7.086295,160;162;505,,,,
Wahn S-Bahn,50.858126,7.079266,160;162;163;164;505,,S12;S19,,
Waidmarkt,50.932368,6.95624,106;132,,,,
Waldbad,50.998574,7.054555,154,,,,
Walter-Dodde-Weg,51.048904,6.85129,120;980,,,,
Walter-Pauli-Ring,50.937195,6.994794,159;171;179;193,,,,
Wasseramselweg,50.950023,6.878105,139;144,,,,
Wasserwerk,50.888627,6.96646,132,,,,
Wattstr.,50.931802,7.000853,159,,,,
Wdr,50.969988,6.856864,145;962,,,,
Weichselring,51.025676,6.896326,120;121;125;126,,,,
Weiden Römergrab,50.938382,6.828665,,1,,,
Weiden Sportplatz,50.942238,6.841079,141;172,,,,
Weiden West,50.940899,6.815136,961;965;SB91,1,S12;S19,,
Weiden Zentrum,50.938238,6.835038,141;143;145;149,1,,,
Weidenpescher Str.,50.979687,6.963449,147,,,,
Weilburger Str.,50.931487,6.993949,153,,,,
Weiler,51.023348,6.882456,120;125,,,,
Weilerweg,51.01986,6.886501,120;125;126,,,,
Weinsbergstr./Gürtel,50.945115,6.912723,141;142;143,13,,,
Weiß Friedhof,50.877273,7.026823,131;134,,,,
Weißer Hauptstr.,50.875484,7.029367,131;134,,,,
Weißhausstr.,50.9215,6.933524,142;978,18,,,
Welserstr.,50.913859,7.059013,151,,,,
Wendelinstr.,50.940234,6.880146,141;143;144,,,,
Weserpromenade,51.032751,6.888587,126,,,,
West Bf,50.943659,6.934378,,,,RB24;RB26;RB48;RE22,
Westerwaldstr.,50.87214,6.946801,132;135,,,,
Westfriedhof,50.967453,6.878483,,3;4,,,
Westhoven Berliner Str.,50.901355,7.025447,,7,,,
Westhoven Kölner Str.,50.906767,7.014732,,7,,,
Weyertal,50.924017,6.926971,,9,,,
Wezelostr.,51.021433,6.884658,120;125,,,,
Wichheimer Str.,50.961502,7.031281,,3;13;18,,,
Widdersdorf,50.966293,6.834346,145;149;172,,,,
Widdersdorfer Str.,50.946553,6.885396,143,,,,
Wiedenfelder Weg,51.064528,6.853439,120,,,,
Wiedstr.,50.926139,7.008656,153,,,,
Wiehler Str.,50.942993,7.063688,157,,,,
Wiener Platz,50.961799,7.004206,150;151;152;153;155;159;171;260;434,4;13;18,,,
Wiener Weg,50.92693,6.865242,143;173,,,,
Wiesenweg,50.87277,7.098026,160,,,,
Wildpark,50.992722,7.047983,154,,,,
Wilhelm-Mauser-Str.,50.956208,6.892119,141;143,,,,
Wilhelm-Sollmann-Str.,50.992003,6.941102,122,12;15,,,
Wilhelmstr.,50.961835,6.951862,147,,,,
Willi-Lauf-Allee,50.925869,6.860945,143;173,,,,
Windmühlenstr.,50.957628,6.996628,150;250;260,,,,
Wiso-Fakultät,50.93111,6.929164,136;146,,,,
Wolffsohnstr.,50.965143,6.88456,,3;4,,,
Worringen S-Bahn,51.052383,6.851704,120;980;SB91,,S6;S11,,
Worringen Süd,51.060806,6.873062,120,,,,
Worringer Str.,50.955372,6.967656,140,,,,TaxiBus 184
Wupperplatz,50.990187,7.033583,,,,,TaxiBus 189
Wüllnerstr.,50.931191,6.907967,,7;13,,,
Würzburger Str.,50.938643,7.019712,153;179;193,,,,
Xantener Str.,50.966186,6.968681,140,,,,
Zaunhof,50.860311,6.955026,135,,,,
Zaunstr.,50.947075,6.829914,145;149;172,,,,
Zentrum (Ekc),50.938076,6.83458,143;145;149;949;950,,,,
Zollstock Südfriedhof,50.900951,6.944122,131;133;138,12,,,
Zollstockgürtel,50.905248,6.942126,130;131;134,12,,,
Zollstocksweg,50.908718,6.945488,131,,,,
Zonser Str.,50.958805,6.949183,127;142,,,,
Zoo/Flora,50.957835,6.974245,140,18,,,
Zugweg,50.916916,6.955736,142,,,,
Zum Hedelsberg,50.879017,7.021097,131;134,,,,
Zum Neuen Kreuz,50.961502,6.836836,149;172;962,,,,
Zur Abtei,50.959911,6.831721,149;172;962,,,,
Zypressenstr.,51.012588,6.899428,125,,,,
Zülpicher Platz,50.931137,6.940724,,9;12;15;E,,,
Zülpicher Str./Gürtel,50.920332,6.915276,,9;13,,,
Zündorf,50.866091,7.049062,164,7,,,
Zündorf Altersheim,50.863079,7.036837,164,,,,
Zündorf Kirche,50.866342,7.041556,164,,,,
Zündorf Marktstr.,50.868509,7.044765,164,,,,
Zündorf Mitte,50.866378,7.045251,164,,,,
Zündorf Olefsgasse,50.86343,7.041026,164,,,,
Zündorf Ranzeler Str.,50.860634,7.037053,164,,,,
Zündorfer Weg,50.910381,6.998561,159,,,,
Üdesheimer Weg,51.058298,6.857907,120,,,,
Üsdorf,50.935083,6.826741,145,,,,
